Slice,Count,Total Area,Average Size,%Area
65_001.jpg,5,73.733,14.747,12.408
66_001.jpg,6,21.397,3.566,3.601
68_001.jpg,9,22.854,2.539,3.846
70_001.jpg,9,37.806,4.201,6.362
72_001.jpg,9,25.929,2.881,4.363
73_001.jpg,10,42.378,4.238,7.131
74_001.jpg,12,27.265,2.272,4.588
76_001.jpg,6,65.531,10.922,11.028
77_001.jpg,10,59.980,5.998,10.094
78_001.jpg,6,48.641,8.107,8.185
79_001.jpg,9,71.347,7.927,12.007
86_001.jpg,7,47.022,6.717,7.913
101_001.jpg,7,29.314,4.188,4.933
103_001.jpg,11,82.081,7.462,13.813
114_001.jpg,7,53.984,7.712,9.085
116_001.jpg,6,50.693,8.449,8.531
121_001.jpg,5,25.382,5.076,4.271
132_001.jpg,9,49.596,5.511,8.346
134_001.jpg,8,68.218,8.527,11.480
