"t.day","sp","numbr","P.MPa","nomID","stemID","l.mm","d.mm","k.g.s.MPa","r2","K.g.mm.s.MPa","Ks.g.s.MPa.mm","ver","plc"
338.377408324861,"quag_kleaf","114_1",-2,"quag_kleaf 114_1 -2 MPa","quag_kleaf 114_1",77.81,2.01,-0.00996592509793921,0.989972922869785,-0.77544863187065,-0.244383025917302,"v18",0
338.409842633702,"quag_kleaf","116_3",-2,"quag_kleaf 116_3 -2 MPa","quag_kleaf 116_3",52.11,1.07,-0.0134140961316127,0.993144229357865,-0.699008549418338,-0.777365121169876,"v18",0
338.440056002013,"quag_kleaf","114_2",-2,"quag_kleaf 114_2 -2 MPa","quag_kleaf 114_2",70.36,1.58,-0.00616310732567971,0.977527937784134,-0.433636231434824,-0.221167600501821,"v18",0
338.476652476724,"quag_kleaf","132_3",-2,"quag_kleaf 132_3 -2 MPa","quag_kleaf 132_3",65.92,1.3,-0.0048123935454462,0.99978167039943,-0.317232982515814,-0.239002117297877,"v18",0
338.506988908505,"quag_kleaf","121_3",-2,"quag_kleaf 121_3 -2 MPa","quag_kleaf 121_3",42.45,1.65,-0.00663397844730867,0.984476128364829,-0.281612385088253,-0.131702488514803,"v18",0
