Slice,Count,Total Area,Average Size,%Area
65_001.jpg,4,61.993,15.498,10.432
66_001.jpg,6,31.983,5.331,5.382
67_001.jpg,9,55.801,6.200,9.390
68_001.jpg,7,19.348,2.764,3.256
69_001.jpg,9,47.309,5.257,7.961
70_001.jpg,11,50.087,4.553,8.429
72_001.jpg,4,27.714,6.929,4.664
73_001.jpg,5,33.575,6.715,5.650
74_001.jpg,6,37.379,6.230,6.290
76_001.jpg,7,62.614,8.945,10.537
77_001.jpg,8,22.286,2.786,3.750
78_001.jpg,11,46.350,4.214,7.800
79_001.jpg,12,39.787,3.316,6.695
80_001.jpg,7,27.630,3.947,4.650
81_001.jpg,13,45.175,3.475,7.602
82_001.jpg,7,41.852,5.979,7.043
86_001.jpg,8,52.936,6.617,8.908
