Slice,Count,Total Area,Average Size,%Area
65_001.jpg,5,50.539,10.108,8.505
65_002.jpg,3,33.019,11.006,5.557
65_003.jpg,2,34.801,17.4,5.856
66_001.jpg,4,32.038,8.01,5.391
66_002.jpg,6,14.086,2.348,2.37
66_003.jpg,8,41.816,5.227,7.037
68_001.jpg,9,15.237,1.693,2.564
68_002.jpg,7,28.483,4.069,4.793
68_003.jpg,4,31.289,7.822,5.265
70_001.jpg,9,41.289,4.588,6.948
70_002.jpg,8,32.531,4.066,5.474
70_003.jpg,11,38.742,3.522,6.52
70_004.jpg,8,33.676,4.209,5.667
72_001.jpg,7,47.11,6.73,7.928
72_002.jpg,5,63.873,12.775,10.749
72_003.jpg,11,30.022,2.729,5.052
73_001.jpg,8,45.79,5.724,7.706
73_002.jpg,6,9.606,1.601,1.617
73_003.jpg,5,41.07,8.214,6.911
73_vpmonly_003.jpg,1,9.231,9.231,1.553
74_001.jpg,7,53.058,7.58,8.929
74_002.jpg,5,35.183,7.037,5.921
76_001.jpg,14,44.591,3.185,7.504
76_002.jpg,5,24.997,4.999,4.207
76_003.jpg,6,30.688,5.115,5.164
77_001.jpg,11,15.463,1.406,2.602
77_002.jpg,4,23.27,5.818,3.916
77_003.jpg,5,56.319,11.264,9.477
78_001.jpg,4,25.832,6.458,4.347
78_002.jpg,5,41.484,8.297,6.981
78_003.jpg,7,74.034,10.576,12.459
78_forgotleaf_003.jpg,1,8.872,8.872,1.493
79_001.jpg,11,30.223,2.748,5.086
79_002.jpg,11,32.688,2.972,5.501
79_003.jpg,5,24.674,4.935,4.152
86_001.jpg,7,32.055,4.579,5.394
86_002.jpg,5,12.463,2.493,2.097
86_003.jpg,5,31.843,6.369,5.359
101_001.jpg,3,19.206,6.402,3.232
101_002.jpg,4,36.08,9.02,6.072
103_001.jpg,5,36.433,7.287,6.131
103_002.jpg,6,29.763,4.961,5.009
121_001.jpg,6,32.382,5.397,5.449
121_002.jpg,5,15.425,3.085,2.596
132_001.jpg,9,30.719,3.413,5.169
132_002.jpg,5,20.155,4.031,3.392
134_001.jpg,7,26.969,3.853,4.538
134_002.jpg,5,20.891,4.178,3.516
114_001.jpg,7,27.227,3.89,4.582
114_002.jpg,10,26.458,2.646,4.453
114_003.jpg,5,44.223,8.845,7.442
116_001.jpg,7,41.625,5.946,7.005
116_002.jpg,8,43.682,5.46,7.351
116_003.jpg,8,23.682,2.96,3.985
121_003.jpg,8,40.573,5.072,6.828
132_003.jpg,7,24.199,3.457,4.072
134_003.jpg,7,24.998,3.571,4.207
