"tree","branch","cell_viability"
"86",1,1.20398419267628
"76",2,0.595582114135989
"65",2,0.729905083206259
"79",1,1.58149707055267
"70",2,0.498300865118482
"70",1,0.674033266391694
"86",2,1.19781340721262
"73",1,0.641741182616574
"78",1,0.743192691877358
"74",1,1.10879308033884
"68",1,0.862732829386577
"66",2,1.01437009760361
"78",2,0.814365842014623
"77",1,0.799840018736077
"74",2,1.46409066081112
"68",2,0.809410730805629
"73",2,0.518721063193109
"79",2,NA
"77",2,0.499639503162194
"76",1,0.498749404709901
"65",1,0.796716433635031
"72",2,0.723173027555004
"72",1,1.13345484652495
"66",1,0.728673604350107
"121",2,0.529351432721103
"68",3,0.644115814488848
"86",3,0.618436373997375
"103",2,0.575997628039986
"77",3,0.6061217715078
"101",1,1.06040502853351
"76",3,NA
"134",2,2.17528391364161
"134",2,0.435056782728323
"79",3,0.708722404593416
"78",3,0.328059798729184
"78",3,0.92169181547723
"66",3,0.527097240172311
"70",3,0.898157748150198
"134",1,0.688758661506433
"132",2,1.17899914176635
"65",3,0.606941660372417
"70",4,0.489171721676168
"101",2,0.978891583554375
"134",2,3.20916767186371
"134",2,0.641833534372743
"121",1,1.11007243914819
"72",3,0.828906257222142
"132",1,2.83486519552326
"73",3,2.1247454696531
"103",1,1.30641904888528
"116",1,0.63202213446067
"114",1,0.765716226587225
"121",3,1.63825758147415
"116",2,0.758112091285034
"132",3,0.657130592877118
"114",3,0.518788609951418
"114",2,0.906300711736519
"134",3,1.07593139900572
"116",3,0.726600861913877
"116",1,0.599861239525784
"114",1,0.943161426606116
"121",3,2.28163064574892
"116",2,0.874694419329374
"132",3,0.788185999838206
"114",3,0.569865840110462
"114",2,0.996990169552807
"134",3,1.18099174695688
"116",3,0.769226052555747
