"tree","branch","cell_viability"
"73",1,0.727589519088434
"24",0,NA
"65",1,0.461295857426087
"79",1,0.38107340744581
"76",2,0.580978353182782
"79",2,0.453299473251258
"79",2,0.512060516080124
"77",1,0.266997802085623
"68",1,0.709988299462981
"70",2,0.544127307535645
"86",1,0.592050076549947
"72",1,0.827527023724111
"65",2,0.470398399228326
"74",1,0.988481536918518
"72",2,0.768189799370501
"66",2,0.876487677260437
"76",1,0.364216385749123
"66",1,0.446558512852582
"73",2,0.411852260733378
"86",2,0.745111439106389
"78",1,0.384912030040126
"77",2,0.515876249678682
"78",2,0.395883153045262
"68",2,NA
"74",2,0.55087103193247
"101",2,0.59284031205693
"132",2,0.415088094649815
"78",3,0.341823564990341
"76",3,0.502232171724711
"101",1,1.13445452027364
"72",3,0.590069920462868
"121",1,0.547618849397558
"103",1,0.565135926334863
"77",3,0.512730558494902
"132",1,0.694650735071688
"86",3,0.715602749170498
"73",3,0.575713589165932
"unlabeled",30,NA
"70",3,0.948633376720068
"66",3,0.876756283210527
"79",3,0.45800489157095
"70",4,0.38704566590898
"68",3,0.574081525007807
"121",2,0.658230287271255
"65",3,0.586634490762362
"103",2,0.51082403752422
