Slice,Count,Total Area,Average Size,%Area
65_003.jpg,12,57.795,4.816,9.726
66_003.jpg,7,8.172,1.167,1.375
68_003.jpg,11,74.553,6.778,12.546
70_003.jpg,19,57.647,3.034,9.701
70_004.jpg,12,35.137,2.928,5.913
72_003.jpg,20,52.040,2.602,8.757
73_003.jpg,11,49.666,4.515,8.358
76_003.jpg,12,35.568,2.964,5.986
77_003.jpg,9,51.540,5.727,8.673
78_003.jpg,12,55.103,4.592,9.273
79_003.jpg,9,33.525,3.725,5.642
86_003.jpg,13,31.678,2.437,5.331
101_001.jpg,10,48.929,4.893,8.234
101_002.jpg,10,32.739,3.274,5.509
103_001.jpg,12,42.216,3.518,7.104
103_002.jpg,11,23.082,2.098,3.884
121_001-1.jpg,11,42.304,3.846,7.119
121_002.jpg,15,25.240,1.683,4.247
132_001.jpg,6,27.860,4.643,4.688
132_002.jpg,6,41.150,6.858,6.925
134_002.jpg,5,39.578,7.916,6.660
unlabelled_gmin_30004.jpg,8,35.733,4.467,6.013
