t.day,sp,numbr,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc
338.4144627,quag_kstem,114_3,-2,quag_kstem 114_3 -2 MPa,quag_kstem 114_3,52.25,2.28,-0.037624307,0.98983906,-1.96587003,-0.481498819,v18,-8.790023841
338.4450171,quag_kstem,116_2,-2,quag_kstem 116_2 -2 MPa,quag_kstem 116_2,68.55,1.61,-0.044527217,0.99984551,-3.052340737,-1.499309799,v18,-46.44408205
338.4846588,quag_kstem,116_1,-2,quag_kstem 116_1 -2 MPa,quag_kstem 116_1,81.84,1.15,-0.015305433,0.984984497,-1.252596672,-1.205939975,v18,-135.7289492
338.5272007,quag_kstem,134_3,-2,quag_kstem 134_3 -2 MPa,quag_kstem 134_3,50.43,1.72,-0.017597219,0.998743742,-0.887427748,-0.38193216,v18,-21.5092931
338.5435292,quag_kstem,114_3,0,quag_kstem 114_3 0 MPa,quag_kstem 114_3,49.01,2.28,-0.03687067,0.99691858,-1.807031528,-0.442594645,v18,0
338.5621501,quag_kstem,116_2,0,quag_kstem 116_2 0 MPa,quag_kstem 116_2,66.39,1.61,-0.031394858,0.999055352,-2.084304599,-1.023810439,v18,0
338.5801908,quag_kstem,116_1,0,quag_kstem 116_1 0 MPa,quag_kstem 116_1,77.74,1.15,-0.00683524,0.997856037,-0.531371593,-0.511579074,v18,0
338.6213845,quag_kstem,134_3,0,quag_kstem 134_3 0 MPa,quag_kstem 134_3,50.43,1.72,-0.0144822,0.989032476,-0.730337347,-0.314323415,v18,0
