t.day,sp,numbr,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc
338.4016107,quag_kleaf,114_3,-2,quag_kleaf 114_3 -2 MPa,quag_kleaf 114_3,52.25,2.28,-0.005354412,0.982132887,-0.279768018,-0.068523335,v18,0
338.432134,quag_kleaf,116_2,-2,quag_kleaf 116_2 -2 MPa,quag_kleaf 116_2,68.55,1.61,-0.008515576,0.989945137,-0.583742725,-0.286734432,v18,0
338.4713871,quag_kleaf,116_1,-2,quag_kleaf 116_1 -2 MPa,quag_kleaf 116_1,81.84,1.15,-0.001055539,0.986879354,-0.08638534,-0.083167661,v18,0
338.5126244,quag_kleaf,134_3,-2,quag_kleaf 134_3 -2 MPa,quag_kleaf 134_3,50.43,1.72,-0.003577686,0.948000372,-0.180422725,-0.077650537,v18,0
